"u_who","u_age_group","u_sex","u_age","u_n_words","u_n_tokens","age_bins"
"KB0PSUNK",NA,NA,NA,11568,13297,NA
"KB1PSUNK",NA,NA,NA,767,996,NA
"KB2PSUGP",NA,NA,NA,17,20,NA
"KB2PSUNK",NA,NA,NA,1265,1448,NA
"KB3PSUNK",NA,NA,NA,4,4,NA
"KB4PSUNK",NA,NA,NA,1,1,NA
"KB5PSUNK",NA,NA,NA,197,292,NA
"KB6PSUNK",NA,NA,NA,29,39,NA
"KB7PS001",NA,NA,NA,18,41,NA
"KB8PSUGP",NA,NA,NA,5,9,NA
"KB8PSUNK",NA,NA,NA,2204,2642,NA
"KB9PSUNK",NA,NA,NA,2071,2542,NA
"KBAPS000",NA,NA,NA,167,242,NA
"KBAPSUNK",NA,NA,NA,1797,2294,NA
"KBBPSUNK",NA,NA,NA,1310,1646,NA
"KBCPSUNK",NA,NA,NA,1800,2336,NA
"KBDPSUNK",NA,NA,NA,6285,7443,NA
"KBEPSUNK",NA,NA,NA,22977,29303,NA
"KBFPSUGP",NA,NA,NA,0,1,NA
"KBFPSUNK",NA,NA,NA,383,494,NA
"KBGPSUNK",NA,NA,NA,1181,1423,NA
"KBHPSUNK",NA,NA,NA,933,1103,NA
"KBJPSUNK",NA,NA,NA,12,17,NA
"KBKPSUNK",NA,NA,NA,30,47,NA
"KBLPSUNK",NA,NA,NA,1033,1318,NA
"KBMPSUNK",NA,NA,NA,1048,1189,NA
"KBNPSUNK",NA,NA,NA,78,93,NA
"KBPPSUNK",NA,NA,NA,1457,1766,NA
"KBRPSUNK",NA,NA,NA,499,574,NA
"KBSPSUNK",NA,NA,NA,75,88,NA
"KBTPSUNK",NA,NA,NA,703,875,NA
"KBUPSUGP",NA,NA,NA,8,14,NA
"KBUPSUNK",NA,NA,NA,399,523,NA
"KBVPSUGP",NA,NA,NA,1,1,NA
"KBVPSUNK",NA,NA,NA,2712,3428,NA
"KBWPSUGP",NA,NA,NA,1517,1765,NA
"KBWPSUNK",NA,NA,NA,7989,9657,NA
"KBXPS000",NA,NA,NA,5331,5878,NA
"KBXPS001",NA,NA,NA,1305,1477,NA
"KBXPSUNK",NA,NA,NA,1254,1368,NA
"KBYPSUNK",NA,NA,NA,27,33,NA
"KC0PSUNK",NA,NA,NA,1387,1668,NA
"KC1PSUNK",NA,NA,NA,874,1063,NA
"KC2PSUNK",NA,NA,NA,1458,1704,NA
"KC3PSUGP",NA,NA,NA,1,2,NA
"KC3PSUNK",NA,NA,NA,182,221,NA
"KC4PSUNK",NA,NA,NA,30,43,NA
"KC5PSUNK",NA,NA,NA,5542,6972,NA
"KC6PSUNK",NA,NA,NA,1643,2006,NA
"KC7PSUNK",NA,NA,NA,575,695,NA
"KC8PSUNK",NA,NA,NA,5126,6010,NA
"KC9PSUNK",NA,NA,NA,3079,3819,NA
"KCAPSUGP",NA,NA,NA,4,7,NA
"KCAPSUNK",NA,NA,NA,361,433,NA
"KCBPSUNK",NA,NA,NA,198,264,NA
"KCDPSUNK",NA,NA,NA,210,228,NA
"KCEPSUNK",NA,NA,NA,1463,1791,NA
"KCFPSUNK",NA,NA,NA,460,516,NA
"KCGPSUGP",NA,NA,NA,1,1,NA
