"";"ID";"Exact.age";"Age..BNC1994.groups.";"Age.range";"Gender";"Nationality";"Place.of.birth";"Country.of.birth";"First.language";"Linguistic.origin";"Accent.dialect.as.reported";"City.town.living";"Country.living";"Duration.living..years.";"Dialect.at.Level.1";"Dialect.at.Level.2";"Dialect.at.Level.3";"Dialect.at.Level.4";"Highest.qualification";"Occupation..title";"Class..Social.grade";"Class..NS.SEC";"L2..if.bilingual.";"Foreign.languages.spoken";"Part.of.core.set.of.speakers";"No..Utterance.units.linked.to.this.Speaker.ID";"total";"age_numeric";"include";"age_bins"
"1";"S0001";32;"25-34";"30-39";"Female";"British";"Wordsley, West Midlands";"England";"English";"England";"None indicated";"Aberystwyth";"Wales";"14";"unspecified";"unspecified";"unspecified";"unspecified";"Postgrad";"University researcher";"A";"01:02";"";"";"Not in core set";399;3000;32;TRUE;"30-39"
"2";"S0002";NA;"Unknown";"19-29";"Female";"British";"Birmingham";"England";"English";"England";"Midlands";"Birmingham";"England";"8 months";"uk";"england";"midlands";"unspecified";"Postgrad";"Teacher";"B";"2";"";"Japanese -- Intermediate";"Not in core set";538;8535;25;TRUE;"20-29"
"3";"S0003";NA;"Unknown";"19-29";"Female";"British";"Royal Leamington Spa, Warwickshire";"England";"English";"England";"Northern";"Manchester";"England";"15 years";"uk";"england";"north";"unspecified";"Graduate";"Student";"E";"* (uncategorised)";"";"";"Not in core set";167;1893;25;TRUE;"20-29"
"4";"S0004";NA;"Unknown";"30-39";"Male";"British";"";"Germany";"English";"England";"Northern";"Birmingham";"England";"6 years";"uk";"england";"north";"unspecified";"Postgrad";"Engineer";"C2";"5";"";"Spanish -- Beginner";"Not in core set";336;3634;34;TRUE;"30-39"
"5";"S0005";NA;"60+";"80-89";"Female";"British";"Birmingham";"England";"English";"England";"Midlands";"Birmingham";"England";"82 years";"uk";"england";"midlands";"unspecified";"Secondary";"Insurance Broker (retired)";"E";"8";"";"French -- Beginner";"Not in core set";148;1449;84;TRUE;"70+"
"6";"S0006";NA;"60+";"80-89";"Male";"British";"Manchester";"England";"English";"England";"Midlands";"Birmingham";"England";"82 years";"uk";"england";"midlands";"unspecified";"Sixth-form";"Company director (retired)";"E";"8";"";"Hebrew -- Intermediate";"Not in core set";502;4804;84;TRUE;"70+"
"7";"S0007";NA;"Unknown";"19-29";"Male";"British";"Birmingham";"England";"English";"England";"Midlands";"Birmingham";"England";"24 years";"uk";"england";"midlands";"unspecified";"Graduate";"Bartender";"D";"7";"";"German -- Beginner";"Not in core set";634;11276;25;TRUE;"20-29"
"8";"S0008";66;"60+";"60-69";"Male";"British";"Norwich, Norfolk";"England";"English";"England";"Norfolk";"Dereham, Norfolk";"England";"66";"uk";"england";"south";"eastern_engl";"Graduate";"Civil engineer (retired)";"E";"8";"";"German -- level unspecified";"In core set";13,398;139888;66;TRUE;"60-69"
"9";"S0009";NA;"Unknown";"19-29";"Female";"British";"";"South Africa";"English";"England";"North East";"Salford, Greater Manchester";"England";"1 month";"uk";"england";"north";"northeast";"Graduate";"Student";"E";"* (uncategorised)";"";"";"Not in core set";60;533;25;TRUE;"20-29"
"10";"S0010";NA;"Unknown";"30-39";"Male";"British";"Whitehave, Cumbria";"England";"English";"England";"Northern";"Manchester";"England";"6 years";"uk";"england";"north";"unspecified";"Sixth-form";"Recruitment and Admission Officer";"B";"2";"";"";"Not in core set";239;3105;34;TRUE;"30-39"
"11";"S0011";NA;"Unknown";"19-29";"Female";"British";"Kettering, Northamptonshire";"England";"English";"England";"Southern";"Salford, Greater Manchester";"England";"18 years";"uk";"england";"south";"unspecified";"Sixth-form";"Student";"E";"* (uncategorised)";"";"Bengali -- Advanced";"Not in core set";46;473;25;TRUE;"20-29"
"12";"S0012";70;"60+";"70-79";"Male";"British";"Costessey, Norfolk";"England";"English";"England";"Norfolk";"Mattishal, Norfolk";"England";"38";"uk";"england";"south";"eastern_engl";"Secondary";"Retired";"E";"8";"";"";"Not in core set";39,311;277953;70;TRUE;"70+"
"13";"S0013";63;"60+";"60-69";"Female";"British";"Harrow, Middlesex";"England";"English";"England";"Southern";"Dereham, Norfolk";"England";"36 years";"uk";"england";"south";"unspecified";"Sixth-form";"Childminder (retired)";"E";"8";"";"";"In core set";26,606;127773;63;TRUE;"60-69"
"14";"S0014";NA;"Unknown";"30-39";"Female";"British";"Hereford, Herefordshire";"England";"English";"England";"Southern";"Birmingham";"England";"5 years";"uk";"england";"south";"unspecified";"Postgrad";"Journalist";"B";"2";"";"";"Not in core set";518;5487;34;TRUE;"30-39"
"15";"S0015";68;"60+";"60-69";"Female";"British";"Scotland";"Scotland";"English";"England";"RP";"Brighton";"England";"67 years";"uk";"england";"unspecified";"unspecified";"Postgrad";"Retired teacher";"E";"8";"";"";"Not in core set";1,654;29651;68;TRUE;"60-69"
"16";"S0016";NA;"Unknown";"19-29";"Female";"British";"Birmingham";"England";"English";"England";"Midlands";"Salford, Greater Manchester";"England";"6 months";"uk";"england";"midlands";"unspecified";"Sixth-form";"Student";"E";"* (uncategorised)";"";"";"Not in core set";112;605;25;TRUE;"20-29"
"17";"S0017";NA;"60+";"70-79";"Male";"British";"Woburn, Buckinghamshire";"England";"English";"England";"Midlands";"Birmingham";"England";"35 years";"uk";"england";"midlands";"unspecified";"Sixth-form";"Accountant";"C1";"3";"";"French -- Beginner; German -- Beginner";"Not in core set";702;7377;74;TRUE;"70+"
"18";"S0018";NA;"Unknown";"30-39";"Female";"British";"Hitchin, Hertfordshire";"England";"English";"England";"Southern";"Birmingham";"England";"18 years, 8 months";"uk";"england";"south";"unspecified";"Postgrad";"Language teacher";"C1";"3";"";"Spanish -- Advanced; French -- Advanced";"Not in core set";12,185;107906;34;TRUE;"30-39"
"19";"S0019";NA;"60+";"60-69";"Female";"British";"Birmingham";"England";"English";"England";"Midlands";"Birmingham";"England";"35 years";"uk";"england";"midlands";"unspecified";"Sixth-form";"Court usher";"D";"6";"";"French -- Beginner";"Not in core set";2,11;23328;64;TRUE;"60-69"
"20";"S0020";NA;"Unknown";"30-39";"Male";"British";"";"England";"English";"England";"Southern";"Baldock, Hertfordshire";"England";"8 years";"uk";"england";"south";"unspecified";"Graduate";"Engineer";"C2";"5";"";"";"Not in core set";114;885;34;TRUE;"30-39"
"21";"S0021";27;"25-34";"19-29";"Female";"British";"Swindon";"England";"English";"England";"West Country";"Hull";"England";"1.5 years";"uk";"england";"south";"southwest";"Postgrad";"Teacher";"B";"2";"";"";"In core set";1,065;8209;27;TRUE;"20-29"
"22";"S0022";NA;"Unknown";"30-39";"Female";"British";"Kettering, Northamptonshire";"England";"English";"England";"Southern";"Hungerford, Berkshire";"England";"4 years";"uk";"england";"south";"unspecified";"Graduate";"PA to director";"C1";"3";"";"Italian -- Advanced; Spanish -- Intermediate";"Not in core set";397;7163;34;TRUE;"30-39"
"23";"S0023";NA;"Unknown";"40-49";"Male";"British";"Taplow, Buckinghamshire";"England";"English";"England";"Southern";"Hungerford, Berkshire";"England";"4 years";"uk";"england";"south";"unspecified";"Sixth-form";"IT consultant";"B";"2";"";"";"Not in core set";399;6704;44;TRUE;"40-49"
"24";"S0024";36;"35-44";"30-39";"Female";"British";"Norwich";"England";"English";"England";"Southern";"Dereham, Norfolk";"England";"28";"uk";"england";"south";"unspecified";"Postgrad";"lecturer";"A";"01:02";"";"";"Not in core set";17,676;181562;36;TRUE;"30-39"
"25";"S0025";NA;"Unknown";"30-39";"Female";"British";"Norwich, Norfolk";"England";"English";"England";"Southern";"Stroud, Gloucestershire";"England";"4 years";"uk";"england";"south";"unspecified";"Graduate";"Training Manager";"B";"2";"";"";"Not in core set";396;5618;34;TRUE;"30-39"
"26";"S0026";23;"15-24";"19-29";"Male";"British";"Leeds, Yorkshire";"England";"English";"England";"Yorkshire";"Cambridge";"England";"4 years, 6 months";"uk";"england";"north";"yorkshire";"Graduate";"Engineer";"C2";"5";"";"German -- Intermediate";"In core set";1,718;13449;23;TRUE;"20-29"
"27";"S0027";NA;"Unknown";"40-49";"Male";"British";"Pelaw, Tyne and Wear";"England";"English";"England";"North West";"Manchester";"England";"5 years";"uk";"england";"north";"northwest";"Sixth-form";"IT Trainer";"B";"2";"";"";"Not in core set";142;1856;44;TRUE;"40-49"
"28";"S0028";NA;"Unknown";"19-29";"Female";"British";"Manchester";"England";"English";"England";"North West";"Blackley, Manchester";"England";"19 years";"uk";"england";"north";"northwest";"Postgrad";"Student/ work in hotel";"D";"6";"";"French -- Intermediate; Spanish -- Intermediate";"Not in core set";58;417;25;TRUE;"20-29"
"29";"S0029";NA;"Unknown";"19-29";"Female";"British";"Essex";"England";"English";"England";"Southern";"Salford, Greater Manchester";"England";"6 months";"uk";"england";"south";"unspecified";"Sixth-form";"Student/ Sales Assistant";"D";"6";"";"Spanish -- Intermediate";"Not in core set";57;304;25;TRUE;"20-29"
