speaker	word_count	a	able	actually	after	against	ah	aha	all	among	an	and	another	anybody	at	aye	be	became	been	began	bet	between	bloke	both	bringing	brought	but	charles	claimed	cor	corp	cos	da	day	decided	did	do	doo	during	each	economic	eh	eighty	england	er	erm	etcetera	everybody	fall	fig	for	forty	found	from	full	get	government	ha	had	has	have	having	held	hello	himself	hm	however	hundred	i	ibm	if	important	in	inc	including	international	into	it	just	know	large	later	latter	let_s	life	ltd	made	may	methods	mhm	minus	mm	most	mr	mum	new	nineteen	ninety	nodded	nought	oh	okay	on	ooh	out	pence	percent	political	presence	provides	put	really	reckon	say	seemed	seriously	sixty	smiled	so	social	somebody	system	take	talking	than	the	they	thing	think	thirteen	though	thus	time	tt	tv	twenty	uk	under	urgh	us	usa	wants	was	we	who	with	world	yeah	yes	you	your
KB0PSUNK	11404	212	5	6	2	7	2	0	55	0	31	375	9	8	41	0	133	0	22	0	0	3	0	2	0	2	67	0	0	0	0	4	0	5	2	21	74	0	2	7	0	0	2	2	217	77	0	4	1	0	89	9	3	35	2	17	1	2	20	34	88	6	1	4	0	0	1	23	285	0	64	13	211	0	0	1	6	156	22	46	2	0	0	0	17	0	9	25	1	0	0	21	5	2	0	2	18	20	0	5	23	11	86	7	7	1	21	0	0	0	14	12	0	31	2	1	4	0	52	1	1	0	9	3	10	568	64	12	57	4	1	1	14	0	0	14	0	7	0	34	0	0	65	209	45	64	5	17	55	182	18
KB1PSUNK	753	12	0	1	0	0	1	0	2	0	2	5	1	0	2	4	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	12	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	1	1	0	0	1	1	4	2	0	1	0	0	0	0	27	0	4	0	5	0	0	0	0	31	3	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	7	0	10	1	3	0	0	0	0	0	11	1	0	4	0	0	1	0	1	0	1	0	3	0	0	10	4	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1	6	2	0	2	0	17	1	37	1
KB2PSUGP	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0
KB2PSUNK	1261	34	0	0	1	0	0	0	7	0	0	63	1	0	2	0	5	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	1	1	10	0	0	0	0	0	2	0	10	0	0	1	0	0	15	7	0	2	1	3	0	0	1	3	5	1	0	1	0	0	0	0	17	0	3	0	5	0	0	0	0	15	1	8	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	3	0	2	0	0	5	2	19	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	5	0	0	0	2	0	0	58	10	0	3	3	0	0	3	0	0	12	0	0	0	1	0	0	10	14	6	3	1	5	2	29	11
KB3PSUNK	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KB4PSUNK	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KB5PSUNK	195	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	4	0	2	0	11	4	7	0
KB6PSUNK	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
KB8PSUGP	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KB8PSUNK	2189	46	0	1	2	0	5	2	5	0	1	39	2	0	8	3	9	0	0	0	0	0	0	0	0	1	7	0	0	0	0	9	0	2	0	4	15	0	0	0	0	0	1	0	10	8	0	0	1	0	21	2	0	4	3	5	0	0	2	1	24	0	0	8	0	0	0	0	102	0	6	0	17	0	0	0	1	55	13	12	0	2	0	1	0	0	1	0	0	1	0	5	0	0	0	0	0	1	0	0	25	3	20	3	3	6	0	0	0	0	3	3	0	0	0	0	9	0	12	0	0	0	4	0	1	78	14	0	3	0	1	0	2	2	0	1	0	0	0	0	0	0	8	22	1	11	0	22	20	77	14
